method,mean_delta_e00,median_delta_e00,chromatic_mean_delta_e00,neutral_mean_delta_e00,maximum_delta_e00,worst_patch_number,worst_patch_name
Fixed WB,11.838857611467867,11.820919658051174,10.786636124366002,14.995522072773475,17.827885261830218,19,White
Norm2 AWB,11.469968292912753,11.457280181701142,10.848392050135196,13.334697021245427,17.992696237087248,18,Cyan
Gray World,11.650999800014882,11.581208042007848,10.903109124286226,13.894671827200854,18.257296004423292,18,Cyan
PCA AWB,11.044973685499714,11.516934347096782,10.69830933757147,12.084966729284448,17.043063020119376,18,Cyan
Hybrid AWB,11.334535976920682,11.487832395168837,10.802494885569871,12.930659250973108,17.776937713602628,18,Cyan
Hybrid V3,11.174045800386812,11.587925305070527,10.746006872638619,12.45816258363139,17.47030225341985,18,Cyan
