method,mean_delta_e00,median_delta_e00,chromatic_mean_delta_e00,neutral_mean_delta_e00,maximum_delta_e00,worst_patch_number,worst_patch_name
Fixed WB,8.136922586837452,7.594861451607842,6.77214219464118,12.231263763426261,14.45923785163964,19,White
Norm2 AWB,12.815663563821767,12.987285090458858,10.892100495288604,18.586352769421268,22.46428180605851,19,White
Gray World,13.838073193922929,14.14366176679559,11.908575222398794,19.626567108495333,22.887641729749497,19,White
PCA AWB,8.267418881870904,7.494335495988395,6.896756106736995,12.379407207272635,16.57540660673126,19,White
Hybrid AWB,12.331367123697452,12.207756392221505,10.400366054274073,18.124370331967587,22.236464230908314,19,White
Hybrid V3,8.267418881870904,7.494335495988395,6.896756106736995,12.379407207272635,16.57540660673126,19,White
