method,r_gain,b_gain,overall_mae_vs_fixed,neutral_score_percent,neutral_improvement_vs_fixed_percent,ae_feedback
Fixed WB,1.24609375,2.80859375,0.0,16.130722518005378,0.0,Correct Exposure
Norm2 AWB,1.3877439116600867,2.955442980094861,11.954631287374614,14.786370796476557,8.334107291401441,Overexposed
Gray World,1.3960070859486422,2.9887926761019323,13.076617540482468,13.830467443082483,14.260087062779188,Overexposed
PCA AWB,1.3558077812194824,2.8518218994140625,8.017898706088177,17.10638825138391,-6.048493688298689,Correct Exposure
