method,indoor1_mean_delta_e00,outdoor1_mean_delta_e00,two_scene_mean_delta_e00,worst_scene_mean_delta_e00,worst_scene,improvement_vs_fixed_percent
Fixed WB,11.838857611467867,8.136922586837452,9.98789009915266,11.838857611467867,Indoor1,0.0
Norm2 AWB,11.469968292912753,12.815663563821767,12.14281592836726,12.815663563821767,Outdoor1,-21.575385870509496
Gray World,11.650999800014882,13.838073193922929,12.744536496968905,13.838073193922929,Outdoor1,-27.59988716786252
PCA AWB,11.044973685499714,8.267418881870904,9.65619628368531,11.044973685499714,Indoor1,3.320959804068028
Hybrid AWB,11.334535976920682,12.331367123697452,11.832951550309067,12.331367123697452,Outdoor1,-18.47298511337181
Hybrid V3,11.174045800386812,8.267418881870904,9.720732341128858,11.174045800386812,Indoor1,2.674816756808988
